ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
"11511898,JB522068,11/18/2018 04:30:00 PM,021XX W LAWRENCE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1911,019,47,4,07,1161049,1931854,2018,11/25/2018 04:09:36 PM,41.968697395,-87.683209248,""(41.968697395, -87.683209248)"""
"11511887,JB521900,11/18/2018 07:30:00 PM,009XX N CROSBY ST,0820,THEFT,$500 AND UNDER,RESIDENCE-GARAGE,false,false,1822,018,27,8,06,1172084,1906812,2018,11/25/2018 04:09:36 PM,41.899744192,-87.643375206,""(41.899744192, -87.643375206)"""
"11511886,JB521837,11/18/2018 08:00:00 PM,009XX E 130TH PL,0820,THEFT,$500 AND UNDER,STREET,false,false,0533,005,9,54,06,1184852,1819085,2018,11/25/2018 04:09:36 PM,41.658722261,-87.599229714,""(41.658722261, -87.599229714)"""
"11511884,JB521810,11/18/2018 02:30:00 AM,007XX W MELROSE ST,0820,THEFT,$500 AND UNDER,APARTMENT,false,false,1925,019,44,6,06,1170749,1921866,2018,11/25/2018 04:09:36 PM,41.941082475,-87.647836641,""(41.941082475, -87.647836641)"""
"11511872,JB521855,11/18/2018 03:30:00 AM,002XX W ONTARIO ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,SIDEWALK,false,false,1831,018,42,8,11,1174469,1904439,2018,11/25/2018 04:09:36 PM,41.893179585,-87.634686145,""(41.893179585, -87.634686145)"""
"11511871,JB521777,11/18/2018 03:00:00 PM,059XX S NORMAL BLVD,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0711,007,20,68,07,1173977,1865590,2018,11/25/2018 04:09:36 PM,41.786585719,-87.637648704,""(41.786585719, -87.637648704)"""
"11511844,JB522197,11/18/2018 12:00:00 AM,103XX S AVENUE F,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,APARTMENT,false,false,0432,004,10,52,20,1203481,1836990,2018,11/25/2018 04:09:36 PM,41.707399604,-87.530452423,""(41.707399604, -87.530452423)"""
"11511841,JB522203,11/18/2018 07:00:00 PM,016XX N MARSHFIELD AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,1433,014,32,24,06,1165094,1910952,2018,11/25/2018 04:09:36 PM,41.911256028,-87.668931631,""(41.911256028, -87.668931631)"""
"11511833,JB522085,11/18/2018 03:30:00 PM,019XX W HARRISON ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,false,false,1225,012,28,28,26,1163454,1897384,2018,11/25/2018 04:09:36 PM,41.874059075,-87.675338675,""(41.874059075, -87.675338675)"""
"11511824,JB521962,11/18/2018 11:00:00 PM,012XX W TAYLOR ST,0810,THEFT,OVER $500,STREET,false,false,1231,012,28,28,06,1168345,1895726,2018,11/25/2018 04:09:36 PM,41.869405101,-87.657429205,""(41.869405101, -87.657429205)"""
"11511802,JB522167,11/18/2018 05:00:00 PM,006XX W 85TH ST,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,false,true,0622,006,21,71,26,1173679,1848524,2018,11/25/2018 04:09:36 PM,41.739761179,-87.639246223,""(41.739761179, -87.639246223)"""
"11511795,JB521857,11/18/2018 03:30:00 AM,002XX W ONTARIO ST,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,false,false,1831,018,42,8,03,1174469,1904439,2018,11/25/2018 04:09:36 PM,41.893179585,-87.634686145,""(41.893179585, -87.634686145)"""
"11511782,JB521828,11/18/2018 12:00:00 PM,050XX N PULASKI RD,0890,THEFT,FROM BUILDING,NURSING HOME/RETIREMENT HOME,false,false,1712,017,39,14,06,1148814,1933312,2018,11/25/2018 04:09:36 PM,41.972944196,-87.728159323,""(41.972944196, -87.728159323)"""
"11511780,JB521829,11/18/2018 08:00:00 PM,006XX E 50TH ST,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,0223,002,4,38,05,1181602,1872010,2018,11/25/2018 04:09:36 PM,41.804030056,-87.609493515,""(41.804030056, -87.609493515)"""
"11511758,JB521953,11/18/2018 07:00:00 PM,103XX S WESTERN AVE,0810,THEFT,OVER $500,COMMERCIAL / BUSINESS OFFICE,false,false,2211,022,19,72,06,1162216,1835947,2018,11/25/2018 04:09:36 PM,41.705493866,-87.681593978,""(41.705493866, -87.681593978)"""
"11511753,JB521011,11/18/2018 07:30:00 PM,071XX S WOODLAWN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENTIAL YARD (FRONT/BACK),false,true,0324,003,5,69,08B,1185452,1857762,2018,11/25/2018 04:09:36 PM,41.76484251,-87.595821963,""(41.76484251, -87.595821963)"""
